#,Sentence#,Token,Tag-Mixed,Segment
9680,583,الحاجة,,الحاجة
9681,583,اللي,,اللي
9682,583,بتعملها,,بتعملها
9683,583,هتتعب,,هتتعب
9684,583,وتتخلى,,وتتخلى
9685,583,عنها,,عنها
9686,583,في,,في
9687,583,منتصف,,منتصف
9688,583,الطريق,,الطريق
9689,583,،,,،
9690,583,أو,,أو
9691,583,منافسينك,,منافسينك
9692,583,اللي,,اللي
9693,583,بيحبوا,,بيحبوا
9694,583,الحاجة,,الحاجة
9695,583,اللي,,اللي
9696,583,بيعملوها,,بيعملوها
9697,583,هيسحقوك,,هيسحقوك
9698,583,ويجعلوك,,ويجعلوك
9699,583,تبكي,,تبكي
9700,583,.,,.
9701,584,.,,.
9702,585,اتبع,,اتبع
9703,585,شغفك,,شغفك
9704,585,بالحاجة,,بالحاجة
9705,585,اللي,,اللي
9706,585,بتلاقي,,بتلاقي
9707,585,نفسك,,نفسك
9708,585,فيها,,فيها
9709,585,،,,،
9710,585,لغاية,,لغاية
9711,585,ما,,ما
9712,585,تبدأ,,تبدأ
9713,585,مشكلة,,مشكلة
9714,585,في,,في
9715,585,الظهور,,الظهور
9716,585,.,,.
9717,586,مشكلة,,مشكلة
9718,586,عويصة,,عويصة
9719,586,فيها,,فيها
9720,586,تحدي,,تحدي
9721,586,وبتأثر,,وبتأثر
9722,586,على,,على
9723,586,ناس,,ناس
9724,586,كتيرة,,كتيرة
9725,586,،,,،
9726,586,مشكلة,,مشكلة
9727,586,تحس,,تحس
9728,586,إنك,,إنك
9729,586,لازم,,لازم
9730,586,تحلها,,تحلها
9731,586,أو,,أو
9732,586,هتموت,,هتموت
9733,586,وانت,,وانت
9734,586,بتحاول,,بتحاول
9735,586,تحلها,,تحلها
9736,586,.,,.
9737,587,ممكن,,ممكن
9738,587,تاخد,,تاخد
9739,587,سنين,,سنين
9740,587,بتدور,,بتدور
9741,587,على,,على
9742,587,المشكلة,,المشكلة
9743,587,دي,,دي
9744,587,؛,,؛
9745,587,لأنك,,لأنك
9746,587,هيبقى,,هيبقى
9747,587,لازم,,لازم
9748,587,تتعرض,,تتعرض
9749,587,لأنواع,,لأنواع
9750,587,مختلفة,,مختلفة
9751,587,من,,من
9752,587,المعرفة,,المعرفة
9753,587,،,,،
9754,587,تجم,,تجم
9755,587,ّ,,ّ
9756,587,ع,,ع
9757,587,النقط,,النقط
9758,587,وتوصلهم,,وتوصلهم
9759,587,ببعض,,ببعض
9760,587,وتكملهم,,وتكملهم
9761,587,.,,.
9762,588,.,,.
9763,589,امتلاكك,,امتلاكك
9764,589,لقوى,,لقوى
9765,589,خارقة,,خارقة
9766,589,وقدرة,,وقدرة
9767,589,عالية,,عالية
9768,589,على,,على
9769,589,التحمل,,التحمل
9770,589,هيساعدوك,,هيساعدوك
9771,589,في,,في
9772,589,طريقك,,طريقك
9773,589,،,,،
9774,589,لكنك,,لكنك
9775,589,إن,,إن
9776,589,مكنتش,,مكنتش
9777,589,مؤمن,,مؤمن
9778,589,بوجود,,بوجود
9779,589,إله,,إله
9780,589,قادر,,قادر
9781,589,،,,،
9782,589,فاجعل,,فاجعل
9783,589,ده,,ده
9784,589,محفز,,محفز
9785,589,إنك,,إنك
9786,589,تطور,,تطور
9787,589,قدرتك,,قدرتك
9788,589,على,,على
9789,589,التحمل,,التحمل
9790,589,علشان,,علشان
9791,589,تبقى,,تبقى
9792,589,أفضل,,أفضل
9793,589,شيء,,شيء
9794,589,تقدر,,تقدر
9795,589,تبقى,,تبقى
9796,589,عليه,,عليه
9797,589,.,,.
9798,590,هيكون,,هيكون
9799,590,فيه,,فيه
9800,590,طيارات,,طيارات
9801,590,كتيرة,,كتيرة
9802,590,مش,,مش
9803,590,هتلحقها,,هتلحقها
9804,590,في,,في
9805,590,ميعادها,,ميعادها
9806,590,،,,،
9807,590,إرهاق,,إرهاق
9808,590,ذهني,,ذهني
9809,590,،,,،
9810,590,حفلات,,حفلات
9811,590,هتضطر,,هتضطر
9812,590,تحضرها,,تحضرها
9813,590,،,,،
9814,590,وحدة,,وحدة
9815,590,تشعر,,تشعر
9816,590,بيها,,بيها
9817,590,،,,،
9818,590,اجتماعات,,اجتماعات
9819,590,ملهاش,,ملهاش
9820,590,لازمة,,لازمة
9821,590,،,,،
9822,590,انتكاسات,,انتكاسات
9823,590,كبيرة,,كبيرة
9824,590,،,,،
9825,590,دراما,,دراما
9826,590,عائلية,,عائلية
9827,590,،,,،
9828,590,مشاكل,,مشاكل
9829,590,شريكك,,شريكك
9830,590,/,,/
9831,590,شريكتك,,شريكتك
9832,590,في,,في
9833,590,الحياة,,الحياة
9834,590,اللي,,اللي
9835,590,هتبقوا,,هتبقوا
9836,590,نادر,,نادر
9837,590,ً,,ً
9838,590,ا,,ا
9839,590,ما,,ما
9840,590,تشوفوا,,تشوفوا
9841,590,بعض,,بعض
9842,590,،,,،
9843,590,ليالي,,ليالي
9844,590,مظلمة,,مظلمة
9845,590,كئيبة,,كئيبة
9846,590,على,,على
9847,590,روحك,,روحك
9848,590,،,,،
9849,590,ناس,,ناس
9850,590,هتقصد,,هتقصد
9851,590,تزعجك,,تزعجك
9852,590,،,,،
9853,590,نوم,,نوم
9854,590,قليل,,قليل
9855,590,...,,...
9856,590,نوم,,نوم
9857,590,أقل,,أقل
9858,590,من,,من
9859,590,القليل,,القليل
9860,590,.,,.
9861,591,حافظ,,حافظ
9862,591,على,,على
9863,591,جسمك,,جسمك
9864,591,لأن,,لأن
9865,591,عقلك,,عقلك
9866,591,بيتأثر,,بيتأثر
9867,591,بصحة,,بصحة
9868,591,جسمك,,جسمك
9869,591,،,,،
9870,591,واتعلم,,واتعلم
9871,591,تتعامل,,تتعامل
9872,591,مع,,مع
9873,591,كل,,كل
9874,591,الضغوط,,الضغوط
9875,591,اللي,,اللي
9876,591,ممكن,,ممكن
9877,591,تكسر,,تكسر
9878,591,أغلب,,أغلب
9879,591,الناس,,الناس
9880,591,.,,.
9881,592,.,,.
9882,593,لا,,لا
9883,593,تتبع,,تتبع
9884,593,المسارات,,المسارات
9885,593,الموجوة,,الموجوة
9886,593,م,,م
9887,593,ُ,,ُ
9888,593,سبق,,سبق
9889,593,ً,,ً
9890,593,ا,,ا
9891,593,،,,،
9892,593,ولا,,ولا
9893,593,تقلد,,تقلد
9894,593,مثلك,,مثلك
9895,593,الأعلى,,الأعلى
9896,593,.,,.
9897,594,مفيش,,مفيش
9898,594,"""",,""""
9899,594,خطوة,,خطوة
9900,594,قادمة,,قادمة
9901,594,"""",,""""
9902,594,هيبقى,,هيبقى
9903,594,من,,من
9904,594,المفترض,,المفترض
9905,594,تمشي,,تمشي
9906,594,عليها,,عليها
9907,594,.,,.
9908,595,النجاح,,النجاح
9909,595,الساحق,,الساحق
9910,595,مش,,مش
9911,595,زي,,زي
9912,595,أي,,أي
9913,595,نوع,,نوع
9914,595,تاني,,تاني
9915,595,من,,من
9916,595,أنواع,,أنواع
9917,595,النجاح,,النجاح
9918,595,؛,,؛
9919,595,اللي,,اللي
9920,595,نفع,,نفع
9921,595,مع,,مع
9922,595,غيرك,,غيرك
9923,595,غالب,,غالب
9924,595,ً,,ً
9925,595,ا,,ا
9926,595,مش,,مش
9927,595,هينفع,,هينفع
9928,595,معاك,,معاك
9929,595,،,,،
9930,595,ولا,,ولا
9931,595,شيء,,شيء
9932,595,يضمن,,يضمن
9933,595,إنك,,إنك
9934,595,بعد,,بعد
9935,595,تنفيذ,,تنفيذ
9936,595,شيء,,شيء
9937,595,معين,,معين
9938,595,نجح,,نجح
9939,595,مع,,مع
9940,595,غيرك,,غيرك
9941,595,إنه,,إنه
9942,595,ينفع,,ينفع
9943,595,معاك,,معاك
9944,595,.,,.
9945,596,الأشخاص,,الأشخاص
9946,596,الناجحين,,الناجحين
9947,596,جد,,جد
9948,596,ً,,ً
9949,596,ا,,ا
9950,596,دول,,دول
9951,596,هم,,هم
9952,596,أشخاص,,أشخاص
9953,596,مع,,مع
9954,596,وجهات,,وجهات
9955,596,نظر,,نظر
9956,596,جريئة,,جريئة
9957,596,بيستغلوا,,بيستغلوا
9958,596,مجموعة,,مجموعة
9959,596,من,,من
9960,596,نقاط,,نقاط
9961,596,القوة,,القوة
9962,596,الفريدة,,الفريدة
9963,596,والخاصة,,والخاصة
9964,596,بيهم,,بيهم
9965,596,.,,.
9966,597,.,,.
9967,598,هما,,هما
9968,598,أشخاص,,أشخاص
9969,598,غير,,غير
9970,598,تقليديين,,تقليديين
9971,598,،,,،
9972,598,والسبب,,والسبب
9973,598,الوحيد,,الوحيد
9974,598,في,,في
9975,598,إنهم,,إنهم
9976,598,بقوا,,بقوا
9977,598,رجال,,رجال
9978,598,الأعمال,,الأعمال
9979,598,اللي,,اللي
9980,598,بقوا,,بقوا
9981,598,عليهم,,عليهم
9982,598,إنهم,,إنهم
9983,598,ميقدروش,,ميقدروش
9984,598,يتقيدوا,,يتقيدوا
9985,598,بالتعليمات,,بالتعليمات
9986,598,والروتين,,والروتين
9987,598,داخل,,داخل
9988,598,الشركات,,الشركات
9989,598,.,,.
9990,599,منهم,,منهم
9991,599,اللي,,اللي
9992,599,بيعاني,,بيعاني
9993,599,من,,من
9994,599,عسر,,عسر
9995,599,القراءة,,القراءة
9996,599,،,,،
9997,599,منهم,,منهم
9998,599,المصاب,,المصاب
9999,599,بالتوحد,,بالتوحد
10000,599,،,,،
10001,599,الناس,,الناس
10002,599,دي,,دي
10003,599,مثيرة,,مثيرة
10004,599,للضجة,,للضجة
10005,599,،,,،
10006,599,بيزعجوا,,بيزعجوا
10007,599,الناس,,الناس
10008,599,،,,،
10009,599,بيدخلوا,,بيدخلوا
10010,599,في,,في
10011,599,نقاشات,,نقاشات
10012,599,،,,،
10013,599,لكنهم,,لكنهم
10014,599,(,,(
10015,599,باستخدام,,باستخدام
10016,599,الاستراتيجيات,,الاستراتيجيات
10017,599,السابق,,السابق
10018,599,ذكرها,,ذكرها
10019,599,),,)
10020,599,بيحولوا,,بيحولوا
10021,599,نقاط,,نقاط
10022,599,الضغف,,الضغف
10023,599,لقوة,,لقوة
10024,599,وميزات,,وميزات
10025,599,إضافية,,إضافية
10026,599,،,,،
10027,599,وبيكو,,وبيكو
10028,599,ّ,,ّ
10029,599,نوا,,نوا
10030,599,علاقات,,علاقات
10031,599,مع,,مع
10032,599,الناس,,الناس
10033,599,اللي,,اللي
10034,599,عندهم,,عندهم
10035,599,المهارات,,المهارات
10036,599,في,,في
10037,599,المجالات,,المجالات
10038,599,التانية,,التانية
10039,599,اللي,,اللي
10040,599,هما,,هما
10041,599,نفسهم,,نفسهم
10042,599,ميعرفوش,,ميعرفوش
10043,599,عنها,,عنها
10044,599,شيء,,شيء
10045,599,.,,.
10046,600,.,,.
10047,601,الناس,,الناس
10048,601,دي,,دي
10049,601,مبتخافش,,مبتخافش
10050,601,شيء,,شيء
10051,601,،,,،
10052,601,ولو,,ولو
10053,601,خافوا,,خافوا
10054,601,بيكملوا,,بيكملوا
10055,601,مسيرتهم,,مسيرتهم
10056,601,بدون,,بدون
10057,601,الالتفات,,الالتفات
10058,601,للخوف,,للخوف
10059,601,ده,,ده
10060,601,.,,.
10061,602,بيواجهوا,,بيواجهوا
10062,602,فشل,,فشل
10063,602,مذل,,مذل
10064,602,ومهين,,ومهين
10065,602,،,,،
10066,602,لكنهم,,لكنهم
10067,602,بيلاقوا,,بيلاقوا
10068,602,طريقة,,طريقة
10069,602,بيها,,بيها
10070,602,يقوموا,,يقوموا
10071,602,من,,من
10072,602,تاني,,تاني
10073,602,لغاية,,لغاية
10074,602,ما,,ما
10075,602,يتحول,,يتحول
10076,602,فشلهم,,فشلهم
10077,602,لنجاح,,لنجاح
10078,602,.,,.
10079,603,لما,,لما
10080,603,بيفشلوا,,بيفشلوا
10081,603,في,,في
10082,603,جوانب,,جوانب
10083,603,ممكن,,ممكن
10084,603,محدش,,محدش
10085,603,غيرهم,,غيرهم
10086,603,يفشل,,يفشل
10087,603,فيها,,فيها
10088,603,،,,،
10089,603,بيتعلموا,,بيتعلموا
10090,603,حاجات,,حاجات
10091,603,الناس,,الناس
10092,603,التانيين,,التانيين
10093,603,مش,,مش
10094,603,هيتعلموها,,هيتعلموها
10095,603,ولا,,ولا
10096,603,عمرهم,,عمرهم
10097,603,هيتعلموها,,هيتعلموها
10098,603,.,,.
10099,604,الناس,,الناس
10100,604,دي,,دي
10101,604,بيمتلكوا,,بيمتلكوا
10102,604,عزيمة,,عزيمة
10103,604,جبارة,,جبارة
10104,604,وإصرار,,وإصرار
10105,604,لا,,لا
10106,604,يصدق,,يصدق
10107,604,.,,.
10108,605,.,,.
10109,606,جاستين,,جاستين
10110,606,أنهت,,أنهت
10111,606,كلامها,,كلامها
10112,606,وقالت,,وقالت
10113,606,:,,:
10114,606,الناس,,الناس
10115,606,العظيمة,,العظيمة
10116,606,دي,,دي
10117,606,بتكون,,بتكون
10118,606,بعيدة,,بعيدة
10119,606,عن,,عن
10120,606,قراءة,,قراءة
10121,606,الإجابات,,الإجابات
10122,606,زي,,زي
10123,606,دي,,دي
10124,606,،,,،
10125,606,ده,,ده
10126,606,مش,,مش
10127,606,انتقاد,,انتقاد
10128,606,للي,,للي
10129,606,بيقرأ,,بيقرأ
10130,606,الإجابة,,الإجابة
10131,606,،,,،
10132,606,أنا,,أنا
10133,606,نفسي,,نفسي
10134,606,بحب,,بحب
10135,606,أقرأ,,أقرأ
10136,606,الحاجات,,الحاجات
10137,606,اللي,,اللي
10138,606,زي,,زي
10139,606,دي,,دي
10140,606,،,,،
10141,606,لكنهم,,لكنهم
10142,606,على,,على
10143,606,الأرجح,,الأرجح
10144,606,بيتجهوا,,بيتجهوا
10145,606,مباشرة,,مباشرة
10146,606,لقراءة,,لقراءة
10147,606,الكتب,,الكتب
10148,606,.,,.
10149,607,ممكن,,ممكن
10150,607,كتاب,,كتاب
10151,607,عن,,عن
10152,607,سيرة,,سيرة
10153,607,الأسكندر,,الأسكندر
10154,607,الأكبر,,الأكبر
10155,607,،,,،
10156,607,أو,,أو
10157,607,كاثرين,,كاثرين
10158,607,العظمى,,العظمى
10159,607,أو,,أو
10160,607,حد,,حد
10161,607,تاني,,تاني
10162,607,هما,,هما
10163,607,بيعتبروه,,بيعتبروه
10164,607,عظيم,,عظيم
10165,607,.,,.
10166,608,تصفح,,تصفح
10167,608,الإنترنت,,الإنترنت
10168,608,نشاط,,نشاط
10169,608,قاتل,,قاتل
10170,608,للوقت,,للوقت
10171,608,،,,،
10172,608,والناس,,والناس
10173,608,دي,,دي
10174,608,وقتهم,,وقتهم
10175,608,ثمين,,ثمين
10176,608,..,,..
10177,608,حتى,,حتى
10178,608,وبالرجوع,,وبالرجوع
10179,608,لوقت,,لوقت
10180,608,ما,,ما
10181,608,كانوا,,كانوا
10182,608,غير,,غير
10183,608,مهمين,,مهمين
10184,608,للدرجة,,للدرجة
10185,608,اللي,,اللي
10186,608,بقوا,,بقوا
10187,608,عليها,,عليها
10188,608,دلوقتي,,دلوقتي
10189,608,،,,،
10190,608,مكانوش,,مكانوش
10191,608,بيفرطوا,,بيفرطوا
10192,608,في,,في
10193,608,وقتهم,,وقتهم
10194,608,،,,،
10195,608,وبيستغلوه,,وبيستغلوه
10196,608,أحسن,,أحسن
10197,608,استغلال,,استغلال
10198,608,.,,.
10199,609,منقول,,منقول
10200,609,و,,و
10201,609,مترجم,,مترجم
10202,609,من,,من
10203,609,أحمد,,أحمد
10204,609,انور,,انور
10205,609,مؤسس,,مؤسس
10206,609,جروب,,جروب
10207,609,araquora,,araquora
10208,609,-,,-
10209,609,أراكورا,,أراكورا
10210,610,بخصوص,,بخصوص
10211,610,موضوع,,موضوع
10212,610,الproblem,,الproblem
10213,610,solving,,solving
10214,610,واحدة,,واحدة
10215,610,من,,من
10216,610,اهم,,اهم
10217,610,المشاكل,,المشاكل
10218,610,إللي,,إللي
10219,610,كانت,,كانت
10220,610,بتقابلني,,بتقابلني
10221,610,اني,,اني
10222,610,مش,,مش
10223,610,عارف,,عارف
10224,610,احل,,احل
10225,610,اية,,اية
10226,610,بالظبط,,بالظبط
10227,610,واشمعنا,,واشمعنا
10228,610,السؤال,,السؤال
10229,610,ده,,ده
10230,610,يعني,,يعني
10231,610,هل,,هل
10232,610,الصح,,الصح
10233,610,إني,,إني
10234,610,ادخل,,ادخل
10235,610,hacker,,hacker
10236,610,-,,-
10237,610,rank,,rank
10238,610,او,,او
10239,610,اي,,اي
10240,610,موقع,,موقع
10241,610,شبهة,,شبهة
10242,610,واقعد,,واقعد
10243,610,احل,,احل
10244,610,كده,,كده
10245,610,وخلاص,,وخلاص
10246,610,من,,من
10247,610,غير,,غير
10248,610,اي,,اي
10249,610,هدف,,هدف
10250,610,ولا,,ولا
10251,610,حتي,,حتي
10252,610,اعرف,,اعرف
10253,610,انا,,انا
10254,610,بحل,,بحل
10255,610,المسائلة,,المسائلة
10256,610,دي,,دي
10257,610,لية,,لية
10258,610,لغاية,,لغاية
10259,610,ما,,ما
10260,610,ربنا,,ربنا
10261,610,كرمني,,كرمني
10262,610,بحد,,بحد
10263,610,عملي,,عملي
10264,610,زي,,زي
10265,610,path,,path
10266,610,كده,,كده
10267,610,تمشي,,تمشي
10268,610,عليه,,عليه
10269,610,وفي,,وفي
10270,610,كل,,كل
10271,610,مساءلة,,مساءلة
10272,610,مكتوب,,مكتوب
10273,610,جنبها,,جنبها
10274,610,دي,,دي
10275,610,mandatory,,mandatory
10276,610,يعني,,يعني
10277,610,لازم,,لازم
10278,610,تحلها,,تحلها
10279,610,ولا,,ولا
10280,610,دي,,دي
10281,610,optional,,optional
10282,610,ممكن,,ممكن
10283,610,تسيبها,,تسيبها
10284,610,ده,,ده
10285,610,زائد,,زائد
10286,610,ان,,ان
10287,610,موجود,,موجود
10288,610,متوسط,,متوسط
10289,610,الوقت,,الوقت
10290,610,اللي,,اللي
10291,610,الناس,,الناس
10292,610,بتحل,,بتحل
10293,610,فيه,,فيه
10294,610,المسائل,,المسائل
10295,610,دي,,دي
10296,610,علشان,,علشان
10297,610,تعرف,,تعرف
10298,610,انت,,انت
10299,610,اخدت,,اخدت
10300,610,وقت,,وقت
10301,610,زيادة,,زيادة
10302,610,ولا,,ولا
10303,610,لا,,لا
10304,610,بعد,,بعد
10305,610,ما,,ما
10306,610,تخلص,,تخلص
10307,610,الpath,,الpath
10308,610,ده,,ده
10309,610,كله,,كله
10310,610,انت,,انت
10311,610,كده,,كده
10312,610,عندك,,عندك
10313,610,الاساسيات,,الاساسيات
10314,610,اللي,,اللي
10315,610,تخليك,,تخليك
10316,610,تدخل,,تدخل
10317,610,الانترفيوهات,,الانترفيوهات
10318,610,من,,من
10319,610,غير,,غير
10320,610,ما,,ما
10321,610,تخاف,,تخاف
10322,610,او,,او
10323,610,تتعمق,,تتعمق
10324,610,اكتر,,اكتر
10325,610,لو,,لو
10326,610,حابب,,حابب
10327,610,لكن,,لكن
10328,610,دول,,دول
10329,610,أ,,أ
10330,610,ب,,ب
10331,610,بتاعت,,بتاعت
10332,610,problem,,problem
10333,610,solving,,solving
10334,610,انا,,انا
10335,610,هشارك,,هشارك
10336,610,معاكم,,معاكم
10337,610,الpath,,الpath
10338,610,ده,,ده
10339,610,علشان,,علشان
10340,610,لو,,لو
10341,610,حد,,حد
10342,610,عايز,,عايز
10343,610,يمشي,,يمشي
10344,610,عليه,,عليه
10345,610,او,,او
10346,610,يستفاد,,يستفاد
10347,610,منه,,منه
10348,610,هاحط,,هاحط
10349,610,هنا,,هنا
10350,610,سكرين,,سكرين
10351,610,شوتات,,شوتات
10352,610,بس,,بس
10353,610,وهنا,,وهنا
10354,610,في,,في
10355,610,pdf,,pdf
10356,610,وصورة,,وصورة
10357,610,كاملة,,كاملة
10358,610,للpath,,للpath
10359,610,كامل,,كامل
10360,610,ملحوظة,,ملحوظة
10361,610,:,,:
10362,610,ده,,ده
10363,610,مش,,مش
10364,610,افضل,,افضل
10365,610,path,,path
10366,610,ممكن,,ممكن
10367,610,تمشي,,تمشي
10368,610,عليه,,عليه
10369,610,لكنه,,لكنه
10370,610,افضل,,افضل
10371,610,من,,من
10372,610,الحل,,الحل
10373,610,بعشوائية,,بعشوائية
10374,610,لو,,لو
10375,610,في,,في
10376,610,حد,,حد
10377,610,جرب,,جرب
10378,610,path,,path
10379,610,تاني,,تاني
10380,610,ياريت,,ياريت
10381,610,يشاركنا,,يشاركنا
10382,610,بيه,,بيه
10383,610,وانت,,وانت
10384,610,كمتعلم,,كمتعلم
10385,610,اختار,,اختار
10386,610,اللي,,اللي
10387,610,يريحك,,يريحك
10388,610,والافضل,,والافضل
10389,610,ليك,,ليك
10390,610,تعديل,,تعديل
10391,610,:,,:
10392,610,في,,في
10393,610,كمان,,كمان
10394,610,فايل,,فايل
10395,610,كان,,كان
10396,610,عملة,,عملة
10397,610,باشمهندس,,باشمهندس
10398,610,مصطفي,,مصطفي
10399,610,سعد,,سعد
10400,610,وفيه,,وفيه
10401,610,تفاصيل,,تفاصيل
10402,610,كتير,,كتير
10403,610,جدا,,جدا
10404,610,وroadmap,,وroadmap
10405,610,كاملة,,كاملة
10406,610,اللينك,,اللينك
10407,610,بتاعها,,بتاعها
10408,610,اهو,,اهو
10409,610,وشوف,,وشوف
10410,610,اللي,,اللي
10411,610,يعجبك,,يعجبك
10412,610,فيهم,,فيهم
10413,611,محتاج,,محتاج
10414,611,نصيحه,,نصيحه
10415,611,دلوقتي,,دلوقتي
10416,611,لما,,لما
10417,611,باجي,,باجي
10418,611,اعدل,,اعدل
10419,611,على,,على
10420,611,كود,,كود
10421,611,(,,(
10422,611,مش,,مش
10423,611,بتاعي,,بتاعي
10424,611,),,)
10425,611,عشان,,عشان
10426,611,احقق,,احقق
10427,611,approach,,approach
10428,611,معين,,معين
10429,611,نفترض,,نفترض
10430,611,مثلا,,مثلا
10431,611,ان,,ان
10432,611,بروجكت,,بروجكت
10433,611,مش,,مش
10434,611,متقسم,,متقسم
10435,611,كويس,,كويس
10436,611,ومش,,ومش
10437,611,مراعي,,مراعي
10438,611,معايير,,معايير
10439,611,الdesign,,الdesign
10440,611,principles,,principles
10441,611,وانا,,وانا
10442,611,لاحظت,,لاحظت
10443,611,ان,,ان
10444,611,الكود,,الكود
10445,611,ده,,ده
10446,611,بينفذ,,بينفذ
10447,611,حاجه,,حاجه
10448,611,بطريقه,,بطريقه
10449,611,عشوائيه,,عشوائيه
10450,611,غير,,غير
10451,611,منظمه,,منظمه
10452,611,زي,,زي
10453,611,مثلا,,مثلا
10454,611,بيعمل,,بيعمل
10455,611,data,,data
10456,611,update,,update
10457,611,من,,من
10458,611,كلاس,,كلاس
10459,611,المفروض,,المفروض
10460,611,مايعملش,,مايعملش
10461,611,منه,,منه
10462,611,كده,,كده
10463,611,وانا,,وانا
10464,611,حابب,,حابب
10465,611,اطبق,,اطبق
10466,611,الobserver,,الobserver
10467,611,pattern,,pattern
10468,611,عليه,,عليه
10469,611,هل,,هل
10470,611,في,,في
10471,611,طريقة,,طريقة
10472,611,منهجيه,,منهجيه
10473,611,ان,,ان
10474,611,انا,,انا
10475,611,اعمل,,اعمل
10476,611,كده,,كده
10477,611,والمفروض,,والمفروض
10478,611,ارسم,,ارسم
10479,611,uml,,uml
10480,611,وافهم,,وافهم
10481,611,الكود,,الكود
10482,611,كويس,,كويس
10483,611,واعدل,,واعدل
10484,611,عليه,,عليه
10485,611,حاجه,,حاجه
10486,611,حاجه,,حاجه
10487,611,عشان,,عشان
10488,611,احقق,,احقق
10489,611,الهدف,,الهدف
10490,611,بتاعي,,بتاعي
10491,611,ولا,,ولا
10492,611,ارسم,,ارسم
10493,611,uml,,uml
10494,611,زي,,زي
10495,611,منا,,منا
10496,611,شايف,,شايف
10497,611,البروجكت,,البروجكت
10498,611,المفروض,,المفروض
10499,611,يكون,,يكون
10500,611,واعيد,,واعيد
10501,611,صياغة,,صياغة
10502,611,المشروع,,المشروع
10503,611,(,,(
10504,611,refactoring,,refactoring
10505,611,),,)
10506,611,كله,,كله
10507,611,على,,على
10508,611,طريقة,,طريقة
10509,611,منظمه,,منظمه
10510,611,؟,,؟
10511,611,ولو,,ولو
10512,611,في,,في
10513,611,طريقه,,طريقه
10514,611,انسب,,انسب
10515,611,ياريت,,ياريت
10516,611,حد,,حد
10517,611,يفهمني,,يفهمني
10518,612,السلام,,السلام
10519,612,عليكم,,عليكم
10520,612,إستفسار,,إستفسار
10521,612,شباب,,شباب
10522,612,الفترة,,الفترة
10523,612,الحالية,,الحالية
10524,612,بتعلم,,بتعلم
10525,612,aws,,aws
10526,612,وفي,,وفي
10527,612,أكثر,,أكثر
10528,612,من,,من
10529,612,خدمة,,خدمة
10530,612,من,,من
10531,612,المهم,,المهم
10532,612,التعامل,,التعامل
10533,612,مع,,مع
10534,612,linux,,linux
10535,612,.,,.
10536,613,أنا,,أنا
10537,613,أطبق,,أطبق
10538,613,في,,في
10539,613,بعض,,بعض
10540,613,الأوامر,,الأوامر
10541,613,وبنوصل,,وبنوصل
10542,613,للمطلوب,,للمطلوب
10543,613,،,,،
10544,613,بس,,بس
10545,613,مجرد,,مجرد
10546,613,كتابة,,كتابة
10547,613,مش,,مش
10548,613,فاهم,,فاهم
10549,613,لينكس,,لينكس
10550,613,عامل,,عامل
10551,613,ايه,,ايه
10552,613,خالص,,خالص
10553,613,.,,.
10554,614,إيه,,إيه
10555,614,نصيحتكم,,نصيحتكم
10556,614,لكي,,لكي
10557,614,أتعلم,,أتعلم
10558,614,التعامل,,التعامل
10559,614,مع,,مع
10560,614,لينكس,,لينكس
10561,614,و,,و
10562,614,ssh,,ssh
10563,614,وكيف,,وكيف
10564,614,ابدأ,,ابدأ
10565,614,المسار,,المسار
10566,614,لإستعابه,,لإستعابه
10567,614,،,,،
10568,614,لأن,,لأن
10569,614,كل,,كل
10570,614,مابشوف,,مابشوف
10571,614,كورس,,كورس
10572,614,تقليدي,,تقليدي
10573,614,على,,على
10574,614,اليوتيوب,,اليوتيوب
10575,614,عندي,,عندي
10576,614,منه,,منه
10577,614,رهبه,,رهبه
10578,614,من,,من
10579,614,حيث,,حيث
10580,614,التعامل,,التعامل
10581,614,مع,,مع
10582,614,شاشة,,شاشة
10583,614,سوداء,,سوداء
10584,614,وبعض,,وبعض
10585,614,الأوامر,,الأوامر
10586,614,اللي,,اللي
10587,614,مش,,مش
10588,614,فاهمها,,فاهمها
10589,614,بنيتها,,بنيتها
10590,614,أصلا,,أصلا
10591,615,يعني,,يعني
10592,615,كيف,,كيف
10593,615,أقدر,,أقدر
10594,615,أتعلم,,أتعلم
10595,615,بيئة,,بيئة
10596,615,لينكس,,لينكس
10597,615,من,,من
10598,615,حيث,,حيث
10599,615,الإفادة,,الإفادة
10600,615,في,,في
10601,615,العمل,,العمل
10602,615,على,,على
10603,615,aws,,aws
10604,615,.,,.
10605,616,وشكرا,,وشكرا
10606,616,ليكم,,ليكم
10607,617,انا,,انا
10608,617,عندي,,عندي
10609,617,مشكلة,,مشكلة
10610,617,ومش,,ومش
10611,617,عارف,,عارف
10612,617,اذا,,اذا
10613,617,كان,,كان
10614,617,فيه,,فيه
10615,617,زيها,,زيها
10616,617,مع,,مع
10617,617,ديفلوبرز,,ديفلوبرز
10618,617,غير,,غير
10619,617,ولا,,ولا
10620,617,لا,,لا
10621,617,..,,..
10622,617,وصراحة,,وصراحة
10623,617,انا,,انا
10624,617,محرج,,محرج
10625,617,جدا,,جدا
10626,617,اني,,اني
10627,617,اسأل,,اسأل
10628,617,زمايلي,,زمايلي
10629,617,في,,في
10630,617,الشغل,,الشغل
10631,617,.,,.
10632,618,.,,.
10633,619,دلوقتي,,دلوقتي
10634,619,انا,,انا
10635,619,لحد,,لحد
